state,sex,race,age,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016
-1.0,1.0,-1.0,1.0,12429.950291063307,12439.929494174863,12609.886817761531,12509.910657083006,12389.90417512841,12649.942433684553,12300.00750811341,12349.94998014411,12540.007107460371,12649.864203095985,12829.905735800658,13349.870465137634,13489.862641903319,13609.955091966644,14049.948794245902,14369.980998071782,14289.947293252788,14470.016515575648
-1.0,1.0,-1.0,2.0,31039.871807492196,31569.71624628821,31849.75547975859,31589.908175721383,31679.84716261466,31449.81391685072,29579.888739525457,29479.936868543075,29179.69898909294,28569.74802521363,28379.849783785412,27819.864234506986,26839.92022607597,26959.81541248399,27249.80159843062,26739.785960668367,26529.76978866547,26259.838155117315
-1.0,1.0,-1.0,3.0,58109.64459873593,60029.029539820694,64249.76070529805,64529.74095575168,66219.73006957852,66879.73890702153,66929.86957497368,68649.79082908617,69719.06912856214,69319.69125026626,70419.34658952299,69500.01916423958,72209.72205427526,70079.78600690661,69329.80001725347,68579.68047768125,68139.9358950841,66539.78334214026
-1.0,1.0,-1.0,4.0,97338.85531551314,96489.55105564941,98638.63736949312,100778.84405188561,104348.81278832808,105339.46815825271,107509.51942087886,109779.83832529241,112619.2531068401,114888.99721360004,118419.14952279232,120339.64814154137,129809.46695927547,129109.99709792553,132579.60739954066,135449.41659609595,137429.26611441365,142109.64868954683
-1.0,1.0,-1.0,5.0,197737.0837360679,192548.64974031286,187099.01568848704,184307.44858794822,177347.3316110691,174437.54121987504,173259.5063924587,171539.45845685535,172678.37971109664,173637.82173972018,177488.22712739548,177468.8436838285,182628.74225783057,189358.02443851886,196558.89392060132,205458.04451434352,210609.23766751654,216428.62034599815
-1.0,1.0,-1.0,6.0,370900.0147545998,359977.9962210789,363588.53238280973,361548.27355173626,356384.7544149439,351856.07486649934,347404.8231511955,342985.59385351226,336685.8764099459,330687.19636849826,325393.3251029987,321667.48875779647,312938.5993173662,309005.32293915417,307676.07139070705,309536.5133221455,312063.4865654883,313947.06990459334
-1.0,1.0,-1.0,7.0,440026.49218493456,440382.7518927368,454439.79341281246,451005.68051080254,453451.1412694411,451327.8986886632,457494.3936246763,468506.9636582149,470923.37964014907,484523.0814363913,489093.8290907816,495788.3261812873,513721.412552382,519042.1479424655,522556.368254816,525268.4872206661,528200.0015019686,526576.295034613
-1.0,-1.0,0.0,0.0,8909.980280012858,9449.985751210139,10149.955500037102,10569.94570088691,10949.981655767653,11179.944967336107,11339.915211245108,11139.949616633825,11079.966812289456,10859.95514209612,10460.01346450518,10199.975109464043,10629.921452945624,10549.955535989533,10439.970591787165,10199.962505103615,10009.972255132265,9769.963704443795
-1.0,-1.0,0.0,1.0,23709.98193334564,23629.982312418455,23259.935579238514,23189.955050861576,23199.954631940313,23299.92786860761,23309.95212937177,23389.93121513237,23860.008089974173,24279.954723643204,24919.94832051566,25639.967970770704,26439.945348312605,27100.041593702932,28229.934189153366,29079.862841665134,30079.958277255566,30979.97907655229
-1.0,-1.0,0.0,2.0,57139.91680079402,57039.98342243634,57010.023848222525,56459.951591576086,55489.8911194132,54319.925355422754,52439.831779522014,51189.94898794403,50509.95218811891,48929.929930482846,47499.94338863182,45949.887853948974,45739.90469050516,45209.88505514511,44799.9439441824,43999.78943362301,43699.95065726529,43279.86896639219
-1.0,-1.0,0.0,3.0,109889.57829716001,113999.83895436651,119469.66961494334,120329.76687031312,122689.78668715594,121159.68781355806,122579.7306134429,124299.83342564279,127300.07140820203,126509.58826359386,126549.84303662223,125069.69528516183,127979.75929601588,123679.66303099338,122399.65825494425,119599.68564543802,117989.65457482258,114959.93561006773
-1.0,-1.0,0.0,4.0,183619.64872226393,181149.94701761336,183499.53272925277,188339.16809484,196109.47446107864,197319.82819426875,203669.53741000954,208589.84910797453,214569.89339385583,216369.26021272637,222019.49859976003,228569.8964158919,241990.0570614341,242599.27745848018,244569.75631991393,250829.78291958696,256009.82737000874,261459.70535712517
-1.0,-1.0,0.0,5.0,373299.2579997296,354538.5957246501,344958.04614552704,336508.7786949445,325337.88635370147,315478.94331630005,312060.3757002668,307998.80436003057,311428.76953348255,315571.0896891576,322299.65330481937,322559.07035883877,329518.5854568149,344869.6644330639,357039.65352566197,371169.6379608834,383039.55442203645,393329.65714247565
-1.0,-1.0,0.0,6.0,622568.5711649032,607676.3805640107,608257.7033680982,603875.9560432177,593345.378262209,584138.9046556382,576468.1481709636,570657.3308990576,559697.6524458106,548315.0022771186,540508.9387229176,530160.6473402965,518068.0138636693,513556.7936235332,512219.69137257384,512690.93977317814,514864.8004444857,518426.24912674713
-1.0,-1.0,0.0,7.0,578942.4382798396,582721.6210331459,596268.1583706791,596801.853173365,602422.6983635804,602594.1730632347,612052.3802180425,634903.7848683087,640144.8216135193,655135.1252065853,666396.5264049415,673220.7357298767,699636.5572019947,709991.2027957562,717579.4950426781,722975.3526982451,728160.443672653,728303.3821503548
-1.0,-1.0,1.0,0.0,3639.8845992436222,3779.8831581588447,3909.891435736604,4309.829386160487,4059.9076407648977,4039.9770388745337,3910.102232858167,3829.947637894184,3650.1001488834886,3739.937393247272,3530.0459971235805,3709.8869402005253,4159.9075141307885,4189.913867044066,4179.9903857699965,4179.984760869662,4159.931001347723,3929.962243066184
-1.0,-1.0,1.0,1.0,9389.946638557389,8999.900105303584,9369.857482172438,9459.761651249602,9520.021348541119,9359.871828616288,8719.970128766805,8829.941617261422,8639.811679493083,8679.919892896312,8409.909098428048,8949.882076103602,9089.8671876064,9110.021343964589,9169.901060632505,8819.819046944607,8439.797996401376,8959.908079421153
-1.0,-1.0,1.0,2.0,20609.6721767778,19629.68999761341,19069.90538170718,18859.962143002333,18779.742853786236,17759.762227477226,15969.755886961128,16129.78667556008,15479.720896126326,15229.9848529813,14819.798670258258,14069.85028840262,13569.800013254255,13479.798541172526,13189.859069180846,13319.945446790112,13099.875676735503,13189.807887044468
